section,page_title,page_url,source_file,link_url,link_text,http_status,reason,wayback_url,wayback_timestamp,wayback_status
blog,A New Look at Abraham Lincoln,/nhec-blog/20291,blog/a-new-look-at-abraham-lincoln-20291.md,http://www.npg.si.edu/exhibit/lincoln/,the companion online exhibit,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20250711171507/https://npg.si.edu/exhibit/lincoln/,20250711171507,found
blog,A New Look at Abraham Lincoln,/nhec-blog/20291,blog/a-new-look-at-abraham-lincoln-20291.md,http://www.npg.si.edu/exhibit/lincoln/audio.html,mp3 files,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20250613234753/https://npg.si.edu/exhibit/lincoln/audio.html,20250613234753,found
blog,A Roundup of Resources,/nhec-blog/23602,blog/a-roundup-of-resources-23602.md,http://www.historians.org/Perspectives/issues/2009/0911/index.cfm,*Perspectives*,404,HTTP 404,http://web.archive.org/web/20110117134742/http://www.historians.org/Perspectives/issues/2009/0911/index.cfm,20110117134742,found
blog,A Roundup of Resources,/nhec-blog/23602,blog/a-roundup-of-resources-23602.md,http://www.historians.org/Perspectives/issues/2009/0911/0911tea3.cfm,"""It's Elementary: Focusing on History Teaching, K-5""",404,HTTP 404,http://web.archive.org/web/20120905061634/http://www.historians.org:80/Perspectives/issues/2009/0911/0911tea3.cfm,20120905061634,found
blog,A Roundup of Resources,/nhec-blog/23602,blog/a-roundup-of-resources-23602.md,http://www.historians.org/Perspectives/issues/2009/0911/0911vie1.cfm,"""Why Teach about Federal Finances in Modern U.S. History Courses""",404,HTTP 404,,,not_archived
blog,"Abraham Lincoln, Vampire Hunter?",/nhec-blog/25664,blog/abraham-lincoln-vampire-hunter-25664.md,http://memory.loc.gov/cgi-bin/query/r?ammem/mal:@field%28DOCID+@lit%28d0297401%29%29,other secondary sources,TIMEOUT,Timed out after 15s,,,not_archived
blog,Adams Family Papers: Letters Behind an HBO Miniseries,/nhec-blog/19126,blog/adams-family-papers-letters-behind-an-hbo-miniseries-19126.md,http://www.masshist.org/welcome/,The Massachusetts Historical Society,404,HTTP 404,,,not_archived
blog,Adams Family Papers: Letters Behind an HBO Miniseries,/nhec-blog/19126,blog/adams-family-papers-letters-behind-an-hbo-miniseries-19126.md,http://www.masshist.org/adams/explore-adams/,John Adams: the Letters Behind the Miniseries,404,HTTP 404,http://web.archive.org/web/20120703123553/http://www.masshist.org:80/adams/explore-adams/,20120703123553,found
blog,Adams Family Papers: Letters Behind an HBO Miniseries,/nhec-blog/19126,blog/adams-family-papers-letters-behind-an-hbo-miniseries-19126.md,http://www.vassar.edu/mydearestfriend/,Archives and Special Collections Library,404,HTTP 404,,,not_archived
blog,African American History Month 2011,/nhec-blog/24502,blog/african-american-history-month-2011-24502.md,http://www.thinkfinity.org/black-history-month,Verizon Thinkfinity,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20120128111206/http://www.thinkfinity.org:80/black-history-month,20120128111206,found
blog,African American History Month 2011,/nhec-blog/24502,blog/african-american-history-month-2011-24502.md,http://www.historyexplorer.si.edu/search/index.asp?keywords=African-American+history,*History Explorer*,CONN_ERROR,Connection failed (site may be down),,,not_archived
blog,African American History Month 2011,/nhec-blog/24502,blog/african-american-history-month-2011-24502.md,http://www.biography.com/people/groups/black-history,Biography.com,404,HTTP 404,http://web.archive.org/web/20140404185356/http://www.biography.com/people/groups/black-history,20140404185356,found
blog,American Civil War Center at Historic Tredegar Launches Education Web Companion,/nhec-blog/19122,blog/american-civil-war-center-at-historic-tredegar-launches-education-web-companion-19122.md,http://www.vcdh.virginia.edu/index.php?page=VCDH,Virginia Center for Digital History (VCDH),404,HTTP 404; redirected to different domain: vcdh.virginia.edu:443,http://web.archive.org/web/20231017061424/http://www.vcdh.virginia.edu/index.php?page=VCDH,20231017061424,found
blog,American Civil War Center at Historic Tredegar Launches Education Web Companion,/nhec-blog/19122,blog/american-civil-war-center-at-historic-tredegar-launches-education-web-companion-19122.md,http://www2.vcdh.virginia.edu/civilwar/index.php?section=Tredegar&page=Home,American Civil War Center (ACWC) at Historic Tredegar: Educational Web Companion (Web Companion),404,HTTP 404; redirected to different domain: 2.vcdh.virginia.edu:443,http://web.archive.org/web/20150813004425/http://www2.vcdh.virginia.edu/civilwar/index.php?section=Tredegar&page=Home,20150813004425,found
blog,Amy Burvall's Life as a TechnoTroubadour,/nhec-blog/25182,blog/amy-burvalls-life-as-a-technotroubadour-25182.md,http://www.schooltube.com/video/547d1ffda7c6829c4545/School-House-Rock-Sufferin-Till-Suffrage,Sufferin’ ‘Till Suffrage,404,HTTP 404,http://web.archive.org/web/20110211172930/http://www.schooltube.com:80/video/547d1ffda7c6829c4545/School-House-Rock-Sufferin-Till-Suffrage,20110211172930,found
blog,An Ear for the Past: The National Jukebox,/nhec-blog/24817,blog/an-ear-for-the-past-the-national-jukebox-24817.md,http://www.loc.gov/jukebox/search/results?fq=take_genre_id%3A8,famous (and less famous) songs and artists,404,HTTP 404,http://web.archive.org/web/20191228082810/http://www.loc.gov:80/jukebox/search/results?fq=take_genre_id:8,20191228082810,found
blog,An Ear for the Past: The National Jukebox,/nhec-blog/24817,blog/an-ear-for-the-past-the-national-jukebox-24817.md,http://www.loc.gov/jukebox/search,creative searching,404,HTTP 404,http://web.archive.org/web/20200922121241/http://www.loc.gov/jukebox/search,20200922121241,found
blog,Anthony Pellegrino's Classroom Simulations: Begin with Paris,/nhec-blog/24596,blog/anthony-pellegrinos-classroom-simulations-begin-with-paris-24596.md,http://chnm.gmu.edu/historicalsimulations/,Model UN,404,HTTP 404; redirected to different domain: hdl.handle.net,http://web.archive.org/web/20190909210557/http://chnm.gmu.edu:80/historicalsimulations/?,20190909210557,found
blog,Architecture as a Primary Source in the Classroom,/nhec-blog/19085,blog/architecture-as-a-primary-source-in-the-classroom-19085.md,http://www.history.org/history/teaching/enewsletter/volume6/march08/teachstrategy.cfm,This lesson plan on the restoration of Montpelier,404,HTTP 404,,,not_archived
blog,Architecture as a Primary Source in the Classroom,/nhec-blog/19085,blog/architecture-as-a-primary-source-in-the-classroom-19085.md,http://www.history.org/history/teaching/enewsletter/archives/enews0308.cfm,*Colonial Williamsburg Teacher Gazette*,404,HTTP 404,http://web.archive.org/web/20110607055642/http://www.history.org/history/teaching/enewsletter/archives/enews0308.cfm,20110607055642,found
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://www.digitalhistory.uh.edu/database/article_display.cfm?HHID=541#top,*The Controversy Continues*,404,HTTP 404,http://web.archive.org/web/20120807195812/http://www.digitalhistory.uh.edu/database/article_display.cfm?HHID=541,20120807195812,found
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://www.digitalhistory.uh.edu/database/subtitles.cfm?TitleID=75,America at War: World War II,404,HTTP 404,,,not_archived
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://airandspace.si.edu/exhibitions/gal103/enolagay/,Enola Gay exhibit,404,HTTP 404,http://web.archive.org/web/20130423021608/http://airandspace.si.edu/exhibitions/gal103/enolagay/,20130423021608,found
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://www.trumanlibrary.org,Truman Library,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20251109062054/https://trumanlibrary.org/,20251109062054,found
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://www.trumanlibrary.org/whistlestop/study_collections/bomb/large/index.php,The Decision to Drop the Bomb,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20250811042447/http://www.trumanlibrary.org/whistlestop/study_collections/bomb/large/index.php,20250811042447,found
blog,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,http://www.trumanlibrary.org/teacher/abomb.htm,Lesson Plan,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20190321225649/https://www.trumanlibrary.org/teacher/abomb.htm,20190321225649,found
