page,drupal_nid,title,usage,field,source,status,resolved_path
teachinghistory-website/content/best-practices/examples-of-historical-thinking/womens-suffrage-jane-addamss-article.md,25637,Women's Suffrage: Jane Addams's Article,author,author_image,/files/author_image/tj_headshot_with_brown_blurred_background_4.jpg,ok,teachinghistory-website/static/files/author_image/tj_headshot_with_brown_blurred_background_4.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/womens-suffrage-photographs.md,25635,Women's Suffrage Photographs,card,splash_image,/files/boisseausplash2.jpg,ok,teachinghistory-website/static/files/boisseausplash2.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/womens-suffrage-photographs.md,25635,Women's Suffrage Photographs,author,author_image,/files/author_image/tj_headshot_with_brown_blurred_background_6.jpg,ok,teachinghistory-website/static/files/author_image/tj_headshot_with_brown_blurred_background_6.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/world-war-ii-memorial.md,25615,World War II Memorial,card,splash_image,/files/warmemorial2.jpg,ok,teachinghistory-website/static/files/warmemorial2.jpg
teachinghistory-website/content/best-practices/teaching-in-action/causal-reasoning.md,19567,Causal Reasoning,card,splash_image,/files/Causal_Reasoning_-_432x240.jpg,ok,teachinghistory-website/static/files/Causal_Reasoning_-_432x240.jpg
teachinghistory-website/content/best-practices/teaching-in-action/causal-reasoning.md,19567,Causal Reasoning,author,author_image,/files/author_image/woodcock.jpg,ok,teachinghistory-website/static/files/author_image/woodcock.jpg
teachinghistory-website/content/best-practices/teaching-in-action/causes-of-world-war-i.md,19569,Causes of World War I,card,splash_image,/files/Causes_of_World_War_-_432x240.jpg,ok,teachinghistory-website/static/files/Causes_of_World_War_-_432x240.jpg
teachinghistory-website/content/best-practices/teaching-in-action/causes-of-world-war-i.md,19569,Causes of World War I,author,author_image,/files/author_image/JamesWoodcock75x75.jpg,ok,teachinghistory-website/static/files/author_image/JamesWoodcock75x75.jpg
teachinghistory-website/content/best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class.md,20374,Exploring Historical Texts in a Discussion-Based Class,card,splash_image,/files/Exploring_Historical_Texts_-_432x240.jpg,ok,teachinghistory-website/static/files/Exploring_Historical_Texts_-_432x240.jpg
teachinghistory-website/content/best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class.md,20374,Exploring Historical Texts in a Discussion-Based Class,author,author_image,/files/author_image/avram.jpg,ok,teachinghistory-website/static/files/author_image/avram.jpg
teachinghistory-website/content/best-practices/teaching-in-action/fdrs-fireside-chats.md,24176,FDR's Fireside Chats,card,splash_image,/files/tiafdr.jpeg,ok,teachinghistory-website/static/files/tiafdr.jpeg
teachinghistory-website/content/best-practices/teaching-in-action/fdrs-fireside-chats.md,24176,FDR's Fireside Chats,author,author_image,/files/author_image/Author-Photo-Joseph-Jelen-75x75.png,ok,teachinghistory-website/static/files/author_image/Author-Photo-Joseph-Jelen-75x75.png
