section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.tnvacation.com/civil-war/,Tennessee,200,https://classic.tnvacation.com/civil-war/,TN Civil War Heritage | Civil War - Tennessee Vacation,True,True,redirected to different domain: classic.tnvacation.com
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.vermontvacation.com/discover%20vermont/arts%20and%20heritage/civil%20war%20sesquicentennial.aspx,Vermont,403,https://www.vermontvacation.com/discover%20vermont/arts%20and%20heritage/civil%20war%20sesquicentennial.aspx,,False,True,HTTP 403
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.virginiacivilwar.org/,Virginia,SSL_ERROR,,,False,True,SSL certificate error
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.civilwar150.wv.gov/Pages/default.aspx,West Virginia,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,2009 Horizon Report: Emerging Technologies in Higher Education,/nhec-blog/20712,blog/2009-horizon-report-emerging-technologies-in-higher-education-20712.md,http://www.nmc.org/,New Media Consortium,200,https://library.educause.edu/search#?publicationandcollection_search=New%20Media%20Consortium%20(NMC),,True,True,redirected to different domain: library.educause.edu
blog,2009 Horizon Report: Emerging Technologies in Higher Education,/nhec-blog/20712,blog/2009-horizon-report-emerging-technologies-in-higher-education-20712.md,http://wp.nmc.org/horizon2009/,*Horizon Report*,200,https://library.educause.edu/search#?publicationandcollection_search=New%20Media%20Consortium%20(NMC),,True,True,redirected to different domain: library.educause.edu
blog,2009 Horizon Report: Emerging Technologies in Higher Education,/nhec-blog/20712,blog/2009-horizon-report-emerging-technologies-in-higher-education-20712.md,http://horizon.nmc.org/wiki/Main_Page,The Horizon Project Wiki,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://edsitement.neh.gov/lesson-plan/boston-tea-party-costume-optional,The Boston Tea Party: Costume Optional?,200,https://www.neh.gov/project/edsitement,EDSITEment | National Endowment for the Humanities,True,True,redirected to different domain: neh.gov
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://www2.lib.virginia.edu/exhibits/sixties/,protest movements of the 1960s,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://en.wikipedia.org/wiki/List_of_Tea_Party_protests,throughout the year,404,https://en.wikipedia.org/wiki/List_of_Tea_Party_protests,,False,True,HTTP 404
